Symbol,Weight Quarter_1,Weight Density Quarter_1,Weight Quarter_2,Weight Density Quarter_2,Weight Quarter_3,Weight Density Quarter_3,Weight Quarter_4,Weight Density Quarter_4,Center of Gravity coordinate_x,Center of Gravity coordinate_y,Relative Center of Gravity coordinate_x,Relative Center of Gravity coordinate_y,Axial Moment of Inertia_x,Axial Moment of Inertia_y,Relative Axial Moment of Inertia_x,Relative Axial Moment of Inertia_y
a,606,0.46795366795366794,757,0.5845559845559846,837,0.6463320463320463,826,0.6378378378378379,38.68605419695968,34.96100462656973,0.516247317766571,0.4921884728488367,1096803.398545935,1463875.7514871052,1.4417664538751539e-06,1.3029399020054015e-06
b,1034,0.6029154518950437,492,0.2868804664723032,1037,0.5925714285714285,921,0.5262857142857142,55.49971297359357,28.7060849598163,0.5561195201387099,0.4015374631857435,1739233.030998855,2431522.99971303,1.155644529683426e-06,5.977333624810526e-07
c,652,0.533988533988534,511,0.40620031796502387,649,0.5315315315315315,555,0.4411764705882353,36.388255175327416,30.700042247570764,0.4847706188401016,0.45000064011470853,867073.0299957793,1246476.1934938757,1.4802947085216267e-06,1.2488950039375028e-06
d,499,0.2909620991253644,1032,0.6017492711370263,900,0.5142857142857142,1025,0.5857142857142857,55.273148148148145,40.498263888888886,0.553807634164777,0.5724386070853462,1696603.9895833228,2412386.148148131,1.1509268764359352e-06,8.432763813956694e-07
e,758,0.6025437201907791,783,0.6224165341812401,720,0.5723370429252782,608,0.48330683624801274,36.0728476821192,32.88323457650749,0.48044996824820824,0.4758691727836939,1023191.8835831312,1206881.7748344368,1.4246204135393261e-06,1.2986534263585664e-06
f,555,0.5505952380952381,671,0.6656746031746031,490,0.47619047619047616,294,0.2857142857142857,42.702985074626866,20.594029850746267,0.4344060945273632,0.47790316709137237,143160.72835820966,1471311.6820895474,2.5728601791397e-06,1.2407928681894927e-06
g,894,0.5258823529411765,1061,0.6062857142857143,884,0.52,1138,0.6502857142857142,48.31657027910485,37.27181292431481,0.47794515433439244,0.5334090135928649,1745633.1702287947,3408740.4380186163,1.0148407956123683e-06,7.8285681420531e-07
h,955,0.6418010752688172,487,0.3272849462365591,787,0.5181040157998683,785,0.5167873601053324,51.416721964167216,26.68380889183809,0.5251741871267418,0.4210460474071818,1407523.669873926,1920624.5972129966,1.4216004017498473e-06,7.377699703860843e-07
i,343,0.997093023255814,344,1.0,344,1.0,344,1.0,42.52,7.505454545454546,0.48847058823529416,0.43369696969696975,29183.709090909375,847203.2000000007,2.2457240400216334e-05,3.964059196617337e-06
j,113,0.1524966261808367,798,1.0,262,0.3535762483130904,728,0.9122807017543859,58.458179905312996,17.316675433982116,0.5084794681886106,0.6275644397685429,61923.36138874294,2140247.925302467,6.170325268945577e-06,1.8277941628955492e-06
k,823,0.5195707070707071,368,0.23232323232323232,1116,0.6901669758812616,699,0.4322820037105751,54.33366600133067,22.960745176314038,0.5555590208471944,0.33785761809713905,977313.3679308031,1926068.3330007584,1.325676840124905e-06,5.602148787733868e-07
l,384,1.0,384,1.0,392,1.0,392,1.0,48.0,7.5,0.4895833333333333,0.43333333333333335,32980.0,1216768.0,1.9927728770326283e-05,3.113707620363482e-06
m,1189,0.6476034858387799,1094,0.5958605664488017,864,0.47058823529411764,864,0.47058823529411764,31.944652206432313,49.894540014958864,0.43584017192158186,0.4841043565837511,4495868.390426326,1819165.7127898154,5.922878554847197e-07,9.25097882264813e-07
n,739,0.6621863799283154,696,0.6236559139784946,576,0.5161290322580645,576,0.5161290322580645,32.76227290297642,29.81793583301121,0.44735595637994957,0.4724251775903477,1218697.247777347,1158258.7978353316,1.6440902419965268e-06,1.4963362732711557e-06
o,692,0.5343629343629344,696,0.5225225225225225,682,0.5266409266409267,686,0.515015015015015,36.22242380261248,34.697387518142236,0.48249895620017097,0.4813912502591748,1246483.6211901302,1287470.6542090015,1.312191954483552e-06,1.2569460561504587e-06
p,1032,0.6017492711370263,901,0.5253644314868805,1035,0.6034985422740525,512,0.29854227405247813,42.009770114942526,28.70890804597701,0.4227811352055931,0.4015783774779277,1738512.1238505754,2405349.667816086,8.926928855099177e-07,6.100542300822151e-07
q,892,0.5201166180758018,1013,0.5906705539358601,507,0.2956268221574344,1026,0.5982507288629738,42.05410122164049,40.47120418848168,0.42323815692412875,0.5720464375142272,1691694.6492146505,2386777.9371727607,8.936349059839116e-07,8.599988990234018e-07
r,624,0.8666666666666667,320,0.42328042328042326,576,0.8,0,0.0,29.518421052631577,12.648684210526316,0.4016679021497405,0.2912171052631579,162962.39736842114,681123.4842105256,3.3873526850373336e-06,1.4514853062879508e-06
s,776,0.6765475152571927,574,0.4847972972972973,542,0.47253705318221445,783,0.6613175675675675,36.556635514018694,30.961495327102803,0.4870771988221739,0.4832499246306904,760439.0340186912,1281256.1697196823,1.6819833031238028e-06,1.4245489894703862e-06
t,556,0.6043478260869565,504,0.5217391304347826,366,0.3893617021276596,513,0.5197568389057751,45.278494069107786,20.48220732336256,0.4812879790120412,0.487055183084064,136910.13615265524,1368769.6132026801,3.1142850685703907e-06,1.4087799020248656e-06
u,575,0.5152329749103942,574,0.514336917562724,705,0.6146469049694856,746,0.6503923278116827,38.55346153846154,31.165769230769232,0.5215758547008548,0.4945208070617907,1222287.5534615365,1178842.568846154,1.8820635258503255e-06,1.5214187049270016e-06
v,597,0.5016806722689076,562,0.4722689075630252,505,0.4125816993464052,496,0.40522875816993464,32.65138888888889,33.49629629629629,0.4521626984126984,0.4850193477059148,607459.9703703704,846992.4958333464,1.400770982823584e-06,1.4370181937307974e-06
w,968,0.542296918767507,952,0.5333333333333333,894,0.4869281045751634,882,0.4803921568627451,33.586309523809526,49.945616883116884,0.46551870748299323,0.4846100681496721,2679660.0689935167,1418350.467261905,6.40391037319614e-07,9.523143762690895e-07
x,597,0.4738095238095238,582,0.46190476190476193,621,0.4791666666666667,648,0.5,35.240196078431374,35.654003267973856,0.48914565826330536,0.48808455307005433,688913.940767973,1123188.7647058745,1.3485176214926252e-06,1.3643525585558703e-06
y,830,0.4839650145772595,793,0.46239067055393585,783,0.44742857142857145,389,0.22228571428571428,44.10447227191413,32.45796064400716,0.4398415537950422,0.45591247310155303,732767.8103756693,2203065.4940966074,9.183667695698301e-07,6.75856912643382e-07
z,451,0.41566820276497696,751,0.6921658986175115,809,0.724910394265233,452,0.4050179211469534,35.55176613885506,30.05562322371092,0.4935966591265008,0.4763216921919823,605143.3796183518,1482829.1498173021,1.8346832837978864e-06,1.5510495117823092e-06
